"pathway","NES","padj","size","input","leadingEdge"
"RNA Processing (GO:0006396)",0.445701908376662,0.99113475177305,12,"TNBC signature","EXOSC4,RNPS1,DUSP11,LSM6,LSM5"
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",0.966284079229041,0.799703440094899,10,"TNBC signature","HSPA8,HTATSF1,PIN1,RNPS1,LSM6,LSM5"
"Ras Protein Signal Transduction (GO:0007265)",1.04957212421114,0.766694370473396,16,"TNBC signature","CDKN2A"
"Regulation Of Apoptotic Process (GO:0042981)",-1.55491989826994,0.204640039562843,65,"TNBC signature","IER3,GADD45B,PMAIP1,GADD45A,SOX4,HSPB1,FHL2,UFM1,ERBB3,CD44,HSPA1B,TJP1,TFAP2A,FOXO3,SOCS2,BCL2,SQSTM1"
"Regulation Of Autophagy (GO:0010506)",0.800544823111322,0.899778181084896,27,"TNBC signature","GAPDH"
"Regulation Of Canonical Wnt Signaling Pathway (GO:0060828)",-0.865491539413316,0.896182834913688,11,"TNBC signature","SOX4,CSNK1A1,BAMBI"
"Regulation Of Cell Adhesion (GO:0030155)",-0.612354708206387,0.982160526442192,11,"TNBC signature","ADAM10,ERBB3,TPM1"
"Regulation Of Cell Cycle (GO:0051726)",-0.797714652415565,0.899778181084896,23,"TNBC signature","GADD45B,GADD45A"
"Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806)",1.0809314997371,0.757671564069184,13,"TNBC signature","CDKN2A,PSME1,SMARCA4"
"Regulation Of Cell Cycle Process (GO:0010564)",0.970766025628192,0.799703440094899,14,"TNBC signature","CALM3,CALM1,ATF5,SMARCA4,PIN1"
"Regulation Of Cell Differentiation (GO:0045595)",-1.18061087088956,0.685553080920564,15,"TNBC signature","CEBPD,ID2,TFAP2A,SUZ12"
"Regulation Of Cell Growth (GO:0001558)",-0.794967663303402,0.899778181084896,25,"TNBC signature","CDC42,ADAM10,HSPA1B,SOCS2,SMAD3,BCL2,DNAJB2"
"Regulation Of Cell Migration (GO:0030334)",-0.797685268287062,0.899778181084896,28,"TNBC signature","EDN1,CDC42,ADAM10,TJP1,FOXO3,STAT3,TPM1,IGF1R"
"Regulation Of Cell Population Proliferation (GO:0042127)",-1.01163001355115,0.771159491193738,58,"TNBC signature","EDN1,SOX4,FOSL1,BAMBI,ID2,ADAM10,ERBB3,HSPA1B,TJP1,TFAP2A,SMAD3,BCL2,STAT3,DNAJB2"
"Regulation Of Cellular Component Organization (GO:0051128)",1.34876198647297,0.56130198915009,10,"TNBC signature","APOE,RAB4A,HSPA8,ATF5,PACSIN3"
"Regulation Of Cold-Induced Thermogenesis (GO:0120161)",0.805336479946173,0.899778181084896,10,"TNBC signature","DECR1,GNAS,SMARCA4"
"Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)",1.01247790693619,0.771159491193738,12,"TNBC signature","CDKN2A,CCND1"
"Regulation Of DNA Repair (GO:0006282)",1.4848620903211,0.466234078346551,11,"TNBC signature","PARP1,PCNA,VPS72,RUVBL1,SMARCA4,USP1"
"Regulation Of DNA-templated Transcription (GO:0006355)",-1.01915412653421,0.766694370473396,93,"TNBC signature","CEBPD,SOX4,ARID5B,BHLHE40,FOSL1,BAMBI,ID2,NFE2L2,NFATC3,MRPL12,NFIL3,TFAP2A,FOXO3,CRK,SMAD3,STAT3,GMNN,JMJD6,CHEK2,USP22,HIF1A,MTF2"
"Regulation Of ERK1 And ERK2 Cascade (GO:0070372)",-0.779705313169205,0.899778181084896,17,"TNBC signature","CCL2,DUSP4,CD44"
"Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045)",-0.799518759630944,0.899778181084896,19,"TNBC signature","CCL2,ID2"
"Regulation Of GTPase Activity (GO:0043087)",-0.962266445820643,0.82154956547356,12,"TNBC signature","CCL2,CRK,VAV3"
"Regulation Of Gene Expression (GO:0010468)",-0.979035406487481,0.801652892561983,57,"TNBC signature","SOX4,ATP1B1,BHLHE40,ID2,TIPARP,ADAM10,NFE2L2,NFIL3,HSPA1B,TFAP2A,SMAD3,STAT3,CHEK2,USP22,HIF1A,MTF2,MBNL2,NR3C1"
"Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)",1.32254066353288,0.565839620440227,21,"TNBC signature","GAPDH,S100A4,PARP1,STAT1,S100A13"
"Regulation Of Inflammatory Response (GO:0050727)",0.859981517466812,0.896182834913688,10,"TNBC signature","APOE,GRN,APP"
"Regulation Of Intracellular Signal Transduction (GO:1902531)",-1.74463924280985,0.148662088166213,16,"TNBC signature","NFKBIA,HSPB1,ARHGEF12,CRK,VAV3,SQSTM1,CHEK2,CALM2"
"Regulation Of MAPK Cascade (GO:0043408)",-0.698321686134999,0.941526418786693,12,"TNBC signature","DUSP4,IGF1R"
"Regulation Of Macroautophagy (GO:0016241)",1.27777779797747,0.577490658053075,11,"TNBC signature","GAPDH,BNIP3"
"Regulation Of Macromolecule Metabolic Process (GO:0060255)",1.3143099386743,0.566883116883117,10,"TNBC signature","APOE,CDK4,HMG20B,CDK6,APP"
"Regulation Of Mitotic Cell Cycle (GO:0007346)",0.599558787488304,0.982160526442192,12,"TNBC signature","APP,PIN1,CDC25B,EIF4EBP1,LGMN"
"Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)",1.33991529521209,0.56130198915009,15,"TNBC signature","CDKN2A,CDK4,CDK6,PSME1,SMARCA4"
"Regulation Of Neuron Apoptotic Process (GO:0043523)",-0.928613543703041,0.866071428571428,12,"TNBC signature","CCL2,ERBB3,TFAP2A,FOXO3,BCL2"
"Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)",-1.32040061037879,0.56130198915009,24,"TNBC signature","SOX4,BHLHE40,NFIL3,SMAD3,STAT3,CHEK2,HIF1A,MTF2,NR3C1,ZNF395,TERF2IP,MYCBP"
"Regulation Of Phosphorylation (GO:0042325)",0.919297836881048,0.866071428571428,10,"TNBC signature","CDKN2A,APP,PIN1"
"Regulation Of Programmed Cell Death (GO:0043067)",1.42793349323951,0.466234078346551,18,"TNBC signature","ASAH1,STAT1,BNIP3,VPS72,RUVBL1"
