"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2BC5",1.42283716487172e-100,-0.301882734344539,0.065,0.186,7.90884038093946e-96
"ZCCHC10",1.68978825128901e-100,-0.210932199520284,0.087,0.223,9.39268799478997e-96
"TSPO.1",3.32473318248832e-100,0.764285577912904,0.718,0.747,1.84805293948613e-95
"PFKP",4.49817738692548e-100,-0.171255336101867,0.122,0.274,2.50031190052253e-95
"NFKBIE",4.63651471341097e-100,-0.185573293307209,0.042,0.153,2.57720670344949e-95
"EMP3",4.68200363439992e-100,-0.041523345901526,0.104,0.253,2.6024917201812e-95
"WSB1",4.76005777277844e-100,-0.204657744083722,0.323,0.531,2.64587811299889e-95
"AKR1C3",4.78237359832628e-100,-1.62882525041878,0.062,0.173,2.65828236462966e-95
"ADIPOR1",4.92316276212103e-100,0.629171572395748,0.463,0.378,2.73654002132497e-95
"UBE2Z",5.51768507211935e-100,-0.188476949952188,0.09,0.225,3.06700524733754e-95
"JMJD1C",6.49151449621373e-100,-0.220863029733945,0.198,0.374,3.6083083327204e-95
"HMG20B",6.75512962710581e-100,0.631189051407902,0.395,0.286,3.75483880322676e-95
"C8orf33",1.25989705616894e-99,-0.145166054527676,0.169,0.336,7.00313778671503e-95
"SERINC1",1.40787516568064e-99,-0.2085908264195,0.2,0.375,7.82567410843582e-95
"IRF1",1.93394075366512e-99,-0.272361233485558,0.224,0.405,1.07498096792475e-94
"INSIG2",2.15182666514884e-99,-0.201425560601714,0.102,0.242,1.19609285182298e-94
"FTH1",3.08147306110867e-99,-1.38327125863705,0.988,1,1.71283680101725e-94
"PAFAH1B2",3.11794204276466e-99,-0.216950444944684,0.13,0.282,1.73310808447073e-94
"CBWD5",3.33034251050685e-99,-0.227568172028008,0.093,0.229,1.85117088446523e-94
"VGLL1",3.43624645979608e-99,0.574314218454689,0.108,0.033,1.91003759467765e-94
"HNRNPH3",3.48139211092652e-99,-0.31209621451615,0.347,0.534,1.93513180485851e-94
"MAPK8",3.59123960894145e-99,-0.236782414873473,0.09,0.225,1.9961905366301e-94
"TSTD1",3.9540558371002e-99,0.680998027916093,0.698,0.719,2.19786193705214e-94
"NIPSNAP1",6.1110313973402e-99,0.521389872373059,0.225,0.117,3.39681680221155e-94
"ALKBH5",6.81201434981646e-99,-0.176741824406052,0.104,0.246,3.78645817634548e-94
"MVP",1.01427940241275e-98,-0.161440482841532,0.14,0.297,5.63787205831127e-94
"RHOV",1.13097037956523e-98,-0.165632092516355,0.192,0.373,6.28649885481332e-94
"YAP1",1.26099257690413e-98,-0.216690370269407,0.088,0.221,7.00922723872161e-94
"AK5",2.12431661653953e-98,-0.246221071707766,0.042,0.152,1.1808013913035e-93
"DDX52",6.49832214277401e-98,-0.156568765645075,0.077,0.208,3.61209236306093e-93
"EFNB2",9.33795596853519e-98,-0.195656309591786,0.022,0.117,5.19050282511028e-93
"CDC34",1.03363788004171e-97,-0.162997775238096,0.065,0.189,5.74547615621187e-93
"DAB2",1.60006365718852e-97,-0.200374461602658,0.047,0.159,8.8939538384824e-93
"RPL4",2.45761850557154e-97,0.600390629810128,0.926,0.977,1.36606724632194e-92
"CNN3",2.57371960135661e-97,-0.239580994749849,0.38,0.6,1.43060204041407e-92
"MTURN",2.59050096200387e-97,-0.206055390561963,0.059,0.176,1.43992995972985e-92
"NIBAN2",2.62577327176874e-97,-0.141965943074946,0.097,0.236,1.45953607311266e-92
"CAB39",3.36181762544818e-97,-0.193416524673174,0.059,0.177,1.86866632710537e-92
"SESTD1",3.58057290315021e-97,-0.188352162932253,0.142,0.296,1.99026144821605e-92
"TMEM11",5.63209900508807e-97,-0.169216377972346,0.161,0.323,3.1306022319782e-92
"TPT1-AS1",7.180638655674e-97,-0.281452265359143,0.129,0.274,3.99135799675639e-92
"AP2S1",7.52716102415354e-97,0.716292472004686,0.597,0.566,4.18397245527574e-92
"NEURL3",1.32716549016098e-96,-0.286658679012159,0.014,0.101,7.37704937705983e-92
"MYO5B",1.59751485792727e-96,-0.186008447902536,0.076,0.203,8.87978633778874e-92
"TMEM33",1.85268111868642e-96,-0.197918719253206,0.113,0.255,1.02981279982185e-91
"GCLC",2.68245017544514e-96,-0.17522779009453,0.025,0.121,1.49103993002118e-91
"ZDHHC2",2.68813901916179e-96,-0.183758438202934,0.019,0.11,1.49420207380108e-91
"TM2D2",2.69239226697468e-96,-0.290238141757085,0.116,0.255,1.49656624159788e-91
"KPNA4",3.73161780951946e-96,-0.207001451549695,0.131,0.279,2.07421975942139e-91
"FADS2",4.52777636623077e-96,0.372713173963247,0.111,0.035,2.51676449316937e-91
"GINS2",4.55216137279183e-96,0.291162641637857,0.1,0.028,2.53031889906634e-91
"PET100",4.94559883646982e-96,-0.247064923007545,0.366,0.577,2.74901111325175e-91
