"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CFL1",2.47229358786839e-48,0.454144291554816,0.9,0.943,1.37422439081664e-43
"HMGB1",2.60877672130705e-48,0.534352058515802,0.812,0.908,1.45008854053853e-43
"C8orf33",3.14235584336827e-48,-0.107987777883748,0.151,0.307,1.74667849553625e-43
"ZSWIM7",3.41788492024066e-48,-0.119244721618029,0.141,0.294,1.89983133291577e-43
"H2BC5",4.07711506201949e-48,-0.283084198119697,0.068,0.183,2.26626440722353e-43
"RIT1",5.0442107704913e-48,-0.168830197608518,0.09,0.217,2.80382455677759e-43
"TOM1",5.42649096234421e-48,-0.15063829696407,0.112,0.25,3.01631500141903e-43
"UQCR11",7.02868842809686e-48,-0.253976249284795,0.61,0.847,3.90689646275764e-43
"FBXW7",7.5939858254119e-48,-0.185587295106482,0.044,0.147,4.22111702105521e-43
"CCDC50",7.74806196431657e-48,-0.152366514065916,0.158,0.316,4.30676024286537e-43
"GNB1",8.21100402890146e-48,-0.125508843885826,0.173,0.338,4.56408658946487e-43
"DUSP10",8.86866813307885e-48,-0.177947284085923,0.03,0.126,4.92964918177188e-43
"ARTN.1",9.04436380542059e-48,0.425511824694736,0.198,0.097,5.02730962124304e-43
"JUP",9.17588983007643e-48,-0.178990223678467,0.292,0.483,5.10041836204798e-43
"PLAAT3",1.02837988332354e-47,0.00782874228353414,0.32,0.557,5.7162495814539e-43
"SYPL1",1.12354338759234e-47,-0.158435456757029,0.38,0.605,6.24521591993201e-43
"SMTN",1.24218850226095e-47,-0.176281514027267,0.069,0.186,6.90470478981747e-43
"CSRNP1",1.26902113739041e-47,-0.186068539790924,0.08,0.205,7.05385399218457e-43
"IFITM2",1.32621319628819e-47,-0.106254998718027,0.204,0.383,7.3717560515679e-43
"CRK",1.4796826804258e-47,-0.17573407901677,0.134,0.277,8.22481617914683e-43
"TRIP10",1.49494381513298e-47,-0.137225380061236,0.087,0.215,8.30964519641665e-43
"ROBO3",1.87508273831684e-47,-0.146360480630273,0.025,0.116,1.04226474009342e-42
"SESN3",1.92037180728715e-47,0.619174698665363,0.163,0.071,1.06743866908056e-42
"SDHAF3",2.42888138670808e-47,0.510802466445414,0.225,0.123,1.35009371880169e-42
"AGTRAP",2.55983666312905e-47,-0.135724530020287,0.266,0.456,1.42288520920028e-42
"EXOSC7",2.71377410308666e-47,-0.132718126970365,0.152,0.304,1.50845133520072e-42
"FOSB",2.73953916532078e-47,-0.781968001681171,0.288,0.446,1.52277284504356e-42
"FLYWCH2",3.29328878007335e-47,0.436961886000609,0.251,0.142,1.83057456840377e-42
"QSOX1",3.40909233658479e-47,-0.126475291289943,0.155,0.312,1.89494397529066e-42
"HCFC1R1",3.5160935824691e-47,0.649814116127833,0.367,0.265,1.95442061781545e-42
"LSM2",3.54172823472782e-47,0.66726835672102,0.511,0.469,1.96866963927346e-42
"PALLD",3.91362181327123e-47,-0.0351754950309456,0.2,0.375,2.17538668490681e-42
"NCOA3",4.41265663751901e-47,0.454011868854008,0.197,0.098,2.45277519196494e-42
"TM2D2",4.79886801302079e-47,-0.270347434532725,0.112,0.244,2.66745078503761e-42
"PTGES",5.32430239461538e-47,-0.157850059038281,0.073,0.191,2.95951348604696e-42
"ARF3",5.39990326385217e-47,-0.105083120574908,0.175,0.34,3.00153622921223e-42
"C16orf72",6.50125833181353e-47,-0.185407246606673,0.099,0.227,3.61372444373855e-42
"SREK1",7.36236223605616e-47,-0.129952357932556,0.166,0.324,4.09236904891182e-42
"CCT8",8.06635208765205e-47,-0.193627147495796,0.415,0.624,4.48368180792139e-42
"SLC5A1",8.65282020891775e-47,-0.230140967102483,0.064,0.174,4.80967011312693e-42
"TERF2IP",9.44674583495036e-47,-0.131764216431329,0.259,0.451,5.25097367235716e-42
"CRB3",1.2285261181704e-46,-0.168815108338087,0.151,0.301,6.82876242785015e-42
"LMAN2",1.24461375590409e-46,-0.0953479054963187,0.368,0.596,6.91818556219286e-42
"ACTN4",1.2482169128367e-46,-0.11739474089868,0.355,0.571,6.93821371000277e-42
"ZNHIT3",1.27352778942191e-46,-0.119950193174675,0.19,0.358,7.07890421750168e-42
"GOLPH3",1.62121019846078e-46,0.532088697306079,0.295,0.189,9.01149688814423e-42
"LMAN1",1.65638102249818e-46,-0.185534263654785,0.363,0.57,9.20699391355615e-42
"ALG2",1.71131314787712e-46,-0.155257269373445,0.082,0.205,9.51233413247497e-42
"WWTR1",2.17980855542476e-46,-0.077311200038407,0.155,0.31,1.21164658553286e-41
"BEX2",2.18842302618039e-46,-0.188963383226329,0.156,0.311,1.21643493910237e-41
"EFNB2",2.27797926266995e-46,-0.158450710198461,0.023,0.111,1.26621477315509e-41
"LINC00342",2.41460085075982e-46,-0.164769188485158,0.017,0.101,1.34215588289484e-41
"NINJ1",3.0112025979779e-46,0.582797481132146,0.366,0.262,1.67377696408601e-41
"CTNNA1",3.27670263797069e-46,-0.106903863262914,0.274,0.472,1.82135516131601e-41
"COX8A",3.58476721238392e-46,0.500604008436095,0.736,0.801,1.9925928550036e-41
"WFDC3",3.95850751675115e-46,-0.17191467485699,0.033,0.128,2.20033640318612e-41
"ALDH7A1",3.97134185490481e-46,0.486879573737949,0.2,0.102,2.20747037004884e-41
"COA8",4.46649732421318e-46,-0.12706601378573,0.179,0.341,2.4827025376639e-41
"CD82",4.61452943112376e-46,-0.106612649468681,0.284,0.474,2.56498618429014e-41
"GLUL",4.70120448747728e-46,0.656290564824357,0.529,0.456,2.61316451436425e-41
"RAB1A",4.99137367162178e-46,-0.21879521814566,0.41,0.612,2.77445505537096e-41
"CFB",5.12385670630062e-46,-0.473350624355974,0.091,0.207,2.8480957501972e-41
"NRIP1",5.82678051039467e-46,-0.140996044286801,0.031,0.126,3.23881594670288e-41
