"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CBX7",1.66180465298477e-117,0.187633973640477,0.198,0.051,4.39065407365106e-113
"HMGB1",1.70728340306706e-117,0.303061175774115,0.811,0.911,4.51081347924348e-113
"PARK7",1.91681528931521e-117,0.156920751319128,0.743,0.855,5.06441767589972e-113
"ZFP36",2.4255035166723e-117,-0.680825862664717,0.381,0.618,6.40842284139988e-113
"C12orf29",3.4551543656934e-117,-0.309088950250386,0.096,0.303,9.12886334959853e-113
"ITPKC",5.542195892396e-117,-0.366814739283382,0.05,0.225,1.46430357672995e-112
"NTMT1",7.6361895884846e-117,-0.385373569865944,0.243,0.476,2.01755765117352e-112
"MAPK8IP2",1.20583362134534e-116,0.13973897467665,0.133,0.02,3.18593301095652e-112
"HMGB3",1.28082386514592e-116,0.596406492565285,0.311,0.146,3.38406473410204e-112
"RPL28",1.41811542272833e-116,0.378564720616127,0.985,0.999,3.74680275839051e-112
"VMA21",1.75244249280938e-116,0.421313385015915,0.42,0.304,4.63012831025165e-112
"SCARB2",1.9528827213801e-116,-0.39356950095576,0.193,0.425,5.15971143815836e-112
"NAT8",2.22505179473072e-116,-0.246619502953499,0.02,0.167,5.87880934685803e-112
"ATP5MC1",2.5799151923794e-116,0.358367799965996,0.664,0.696,6.8163939297856e-112
"TBX3",3.52511948105374e-116,-0.650571351317561,0.147,0.343,9.31371818089207e-112
"GINS2",4.69718949940074e-116,0.410105772337959,0.155,0.035,1.24104443763667e-111
"EMG1",4.90633264652112e-116,-0.442144644626063,0.233,0.424,1.29630214853734e-111
"LRRC59",5.09458645247875e-116,-0.643799908170263,0.437,0.571,1.34604068660941e-111
"CHURC1",8.67175958395108e-116,-0.3760583829387,0.266,0.506,2.29116559967571e-111
"RHBDL1",9.68164563781618e-116,0.128916417178104,0.115,0.015,2.55798759396741e-111
"PLEKHF1",1.11902581720096e-115,-0.118155621451303,0.037,0.174,2.95657811162665e-111
"NCK1-DT",1.18782243024726e-115,0.172954850887242,0.167,0.035,3.13834564295629e-111
"PNPLA8",1.37347258100336e-115,-0.394469542417455,0.136,0.35,3.62885190626897e-111
"NDUFS8",1.41586165655399e-115,0.566351200161048,0.658,0.633,3.74084808278129e-111
"MICOS13",1.42442426078696e-115,0.287967696296066,0.606,0.658,3.76347133942522e-111
"PTGES3",1.44029850865944e-115,-0.484527382347797,0.64,0.765,3.80541268972911e-111
"LRP2BP",1.5240067957545e-115,0.103368020918303,0.104,0.012,4.02657835506297e-111
"HDAC10",1.69149802192415e-115,0.252811255486976,0.21,0.057,4.46910692372578e-111
"CCDC12",2.23186287806777e-115,-0.322938048226198,0.252,0.495,5.89680491014285e-111
"H6PD",2.60383237942556e-115,0.156772558252146,0.182,0.045,6.87958552968026e-111
"MAST4",3.86837250334161e-115,-0.32768545754858,0.074,0.262,1.02206269910789e-110
"SARNP",5.92788723528479e-115,-0.237110511053718,0.053,0.233,1.56620708643459e-110
"BAG3",6.45005085685573e-115,-0.309137824331786,0.126,0.344,1.70416793688985e-110
"SESN2",9.23785270294151e-115,-0.30861530215946,0.034,0.201,2.44073306264418e-110
"EIF4EBP3",1.01379216338148e-114,0.333202575357872,0.159,0.033,2.6785402748702e-110
"CWC25",1.04867434789648e-114,-0.341697466293658,0.138,0.358,2.7707024945773e-110
"SMIM19",1.05368086290133e-114,0.487015484878652,0.499,0.366,2.78393020787161e-110
"RTCA",1.2412604286463e-114,-0.206481549855804,0.112,0.316,3.2795341785264e-110
"CIB2",1.47232403535961e-114,0.139647952664804,0.135,0.022,3.89002733382363e-110
"COQ10B",1.63760988724221e-114,-0.321131368752409,0.141,0.362,4.32672908308266e-110
"HSBP1",3.88431500628957e-114,0.179841934026133,0.728,0.833,1.02627486781177e-109
"CHMP4B",3.9535199232013e-114,-0.535916883594514,0.517,0.719,1.04455949890901e-109
"WDR83OS",3.98002477218406e-114,0.203376823221926,0.734,0.835,1.05156234505875e-109
"TKT",4.42718921858709e-114,-0.686166289086054,0.495,0.666,1.16970766344289e-109
"MARCHF5",4.5801383073728e-114,-0.337298865084834,0.212,0.45,1.21011834219097e-109
"OGA",5.0014493392702e-114,-0.329765582954085,0.172,0.401,1.32143292992858e-109
"RPL36",9.22169633619207e-114,-0.387599538829195,0.965,0.999,2.43646438898531e-109
"COQ8A",1.25758487773768e-113,0.302233329404293,0.267,0.092,3.32266500547073e-109
"COPS2",1.58924001452688e-113,-0.199375250827325,0.171,0.39,4.19893104238148e-109
"CITED4",1.95137324037035e-113,0.386407259983834,0.392,0.177,5.15572323838249e-109
"CLU",1.99759800198899e-113,-0.342348778820027,0.381,0.625,5.2778536810551e-109
"ATAD1",2.42192107345855e-113,-0.324175798006601,0.132,0.346,6.39895766818482e-109
